rvtr,artist,title,playCount,reason,approvedFacts,approvedStories,candidateFacts,candidateStories,researchSources,canBuildCardsReason
RVTR828046,AC/DC,Back In Black,4,ready_for_card_assembly,16,6,16,6,7,
RVTR718765,Black Crowes,Remedy,4,ready_for_card_assembly,11,7,11,7,7,
RVTR728658,Bee Gees,Lonely Days,4,ready_for_card_assembly,12,8,12,8,7,
RVTR405093,AC/DC,Highway To Hell,4,ready_for_card_assembly,11,6,11,6,7,
RVTR113468,Bill Withers,Lean On Me,4,ready_for_card_assembly,15,6,15,6,4,
RVTR975907,Audioslave,Like A Stone,4,ready_for_card_assembly,17,9,17,9,7,
RVTR617604,A Goofy Movie,Eye to Eye,4,ready_for_card_assembly,11,2,12,2,4,
RVTR143638,Bananarama,Cruel Summer,4,ready_for_card_assembly,19,7,19,7,6,
RVTR279190,Bob Dylan,Don't Think Twice,4,ready_for_card_assembly,18,6,18,6,4,
RVTR600535,Al Green,Let's Stay Together,4,ready_for_card_assembly,10,6,10,6,7,
RVTR028018,A Tribe Called Quest,Check The Rhyme,4,ready_for_card_assembly,11,5,11,5,3,
RVTR400641,Billy Strings feat. Willie Nelson,California Sober,4,ready_for_card_assembly,13,4,13,4,4,
RVTR657372,Aqua,Barbie Girl,4,ready_for_card_assembly,13,7,13,7,7,
RVTR521876,311,Down,3,ready_for_card_assembly,19,7,19,7,7,
RVTR481612,Akon,Lonely,3,ready_for_card_assembly,9,5,9,5,7,
RVTR437645,AC/DC,Jailbreak,3,ready_for_card_assembly,17,7,17,7,7,
RVTR986946,Aerosmith,Crazy,3,ready_for_card_assembly,13,9,13,9,7,
RVTR099950,Aldo Nova,Fantasy,3,ready_for_card_assembly,12,7,12,7,6,
RVTR002978,Billy Joel,My Life,3,ready_for_card_assembly,14,8,14,8,6,
RVTR429676,Beyoncé,Crazy In Love,3,ready_for_card_assembly,13,7,13,7,3,
RVTR847140,Bill Withers,Use Me,3,ready_for_card_assembly,10,5,10,5,4,
RVTR026134,Beck,Devils Haircut,3,ready_for_card_assembly,20,7,20,7,7,
RVTR498245,Alice Cooper,Poison,3,ready_for_card_assembly,18,8,18,8,7,
RVTR581435,Atmosphere,Sunshine,3,ready_for_card_assembly,16,3,16,3,4,
RVTR751541,Ben Folds,Tiny Dancer,3,ready_for_card_assembly,13,6,13,6,7,
RVTR619691,Billy Talent,End Of Me,3,ready_for_card_assembly,7,4,7,4,4,
RVTR917359,2 Live Crew,Me So Horny,3,ready_for_card_assembly,14,7,14,7,7,
RVTR665930,Blues Brothers,Rawhide,3,ready_for_card_assembly,16,6,16,6,3,
RVTR049924,Adina Howard,Freak Like Me,3,ready_for_card_assembly,17,8,17,8,7,
RVTR791353,38 Special,Caught Up In You,3,ready_for_card_assembly,9,6,9,6,7,
RVTR917640,Aerosmith,Janie's Got A Gun,3,ready_for_card_assembly,15,9,15,9,7,
RVTR171269,ABBA,Lay All Your Love On Me,3,ready_for_card_assembly,23,7,23,7,7,
